"DisplayName"
"ActiveX Installer (AxInstSV)"
"AllJoyn Router Service"
"App Readiness"
"Application Identity"
"Application Layer Gateway Service"
"Application Management"
"AppX Deployment Service (AppXSVC)"
"AssignedAccessManager Service"
"Auto Time Zone Updater"
"AVCTP service"
"Background Intelligent Transfer Service"
"BitLocker Drive Encryption Service"
"Block Level Backup Engine Service"
"Bluetooth Audio Gateway Service"
"Bluetooth Support Service"
"Bluetooth User Support Service_4c640"
"BranchCache"
"Capability Access Manager Service"
"CaptureService_4c640"
"Certificate Propagation"
"Client License Service (ClipSVC)"
"ConsentUX_4c640"
"Contact Data_4c640"
"Data Sharing Service"
"Data Usage"
"Delivery Optimization"
"Device Association Service"
"Device Install Service"
"Device Management Enrollment Service"
"Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Device Setup Manager"
"DevicePicker_4c640"
"DevicesFlow_4c640"
"DevQuery Background Discovery Broker"
"Diagnostic Execution Service"
"Diagnostic Policy Service"
"Diagnostic Service Host"
"Diagnostic System Host"
"Display Enhancement Service"
"Distributed Link Tracking Client"
"Downloaded Maps Manager"
"Embedded Mode"
"Encrypting File System (EFS)"
"Enterprise App Management Service"
"Extensible Authentication Protocol"
"Fax"
"File History Service"
"Function Discovery Provider Host"
"Function Discovery Resource Publication"
"GameDVR and Broadcast User Service_4c640"
"Geolocation Service"
"Google Chrome Elevation Service (GoogleChromeElevationService)"
"Google Update Service (gupdate)"
"Google Update Service (gupdatem)"
"GraphicsPerfSvc"
"Group Policy Client"
"Human Interface Device Service"
"HV Host Service"
"Hyper-V Data Exchange Service"
"Hyper-V Guest Service Interface"
"Hyper-V Guest Shutdown Service"
"Hyper-V Heartbeat Service"
"Hyper-V PowerShell Direct Service"
"Hyper-V Remote Desktop Virtualization Service"
"Hyper-V Time Synchronization Service"
"Hyper-V Volume Shadow Copy Requestor"
"IKE and AuthIP IPsec Keying Modules"
"Infrared monitor service"
"Internet Connection Sharing (ICS)"
"IP Translation Configuration Service"
"IPsec Policy Agent"
"KtmRm for Distributed Transaction Coordinator"
"Language Experience Service"
"Link-Layer Topology Discovery Mapper"
"Local Profile Assistant Service"
"MessagingService_4c640"
"Microsoft (R) Diagnostics Hub Standard Collector Service"
"Microsoft Account Sign-in Assistant"
"Microsoft App-V Client"
"Microsoft iSCSI Initiator Service"
"Microsoft Passport"
"Microsoft Passport Container"
"Microsoft Software Shadow Copy Provider"
"Microsoft Storage Spaces SMP"
"Microsoft Store Install Service"
"Microsoft Windows SMS Router Service."
"Natural Authentication"
"Net.Tcp Port Sharing Service"
"Netlogon"
"Network Connected Devices Auto-Setup"
"Network Connections"
"Network Connectivity Assistant"
"Network Setup Service"
"Offline Files"
"OpenSSH Authentication Agent"
"Optimize drives"
"Parental Controls"
"Payments and NFC/SE Manager"
"Peer Name Resolution Protocol"
"Peer Networking Grouping"
"Peer Networking Identity Manager"
"Performance Counter DLL Host"
"Performance Logs & Alerts"
"Phone Service"
"PNRP Machine Name Publication Service"
"Portable Device Enumerator Service"
"Printer Extensions and Notifications"
"PrintWorkflow_4c640"
"Problem Reports and Solutions Control Panel Support"
"Quality Windows Audio Video Experience"
"Radio Management Service"
"Remote Access Auto Connection Manager"
"Remote Access Connection Manager"
"Remote Desktop Configuration"
"Remote Desktop Services"
"Remote Desktop Services UserMode Port Redirector"
"Remote Procedure Call (RPC) Locator"
"Remote Registry"
"Retail Demo Service"
"Routing and Remote Access"
"Secondary Logon"
"Secure Socket Tunneling Protocol Service"
"Sensor Data Service"
"Sensor Monitoring Service"
"Sensor Service"
"Shared PC Account Manager"
"Smart Card"
"Smart Card Device Enumeration Service"
"Smart Card Removal Policy"
"SNMP Trap"
"Software Protection"
"Spatial Data Service"
"Spot Verifier"
"Still Image Acquisition Events"
"Storage Tiers Management"
"Telephony"
"UPnP Device Host"
"User Data Access_4c640"
"User Data Storage_4c640"
"User Experience Virtualization Service"
"Virtual Disk"
"VMware Snapshot Provider"
"Volume Shadow Copy"
"Volumetric Audio Compositor Service"
"WalletService"
"WarpJITSvc"
"WebClient"
"Wi-Fi Direct Services Connection Manager Service"
"Windows Backup"
"Windows Biometric Service"
"Windows Camera Frame Server"
"Windows Connect Now - Config Registrar"
"Windows Defender Advanced Threat Protection Service"
"Windows Encryption Provider Host Service"
"Windows Error Reporting Service"
"Windows Event Collector"
"Windows Image Acquisition (WIA)"
"Windows Insider Service"
"Windows Installer"
"Windows Management Service"
"Windows Media Player Network Sharing Service"
"Windows Mobile Hotspot Service"
"Windows Modules Installer"
"Windows Perception Service"
"Windows Perception Simulation Service"
"Windows PushToInstall Service"
"Windows Remote Management (WS-Management)"
"Windows Search"
"Windows Time"
"Windows Update"
"Windows Update Medic Service"
"WinHTTP Web Proxy Auto-Discovery Service"
"Wired AutoConfig"
"WLAN AutoConfig"
"WMI Performance Adapter"
"Work Folders"
"WWAN AutoConfig"
"Xbox Accessory Management Service"
"Xbox Live Auth Manager"
"Xbox Live Game Save"
"Xbox Live Networking Service"
